Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R01.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R02.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R03.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R04.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R05.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R06.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R07.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R08.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R09.d
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	26816.6	29782.2	25106.4	25790.3	22687.9	27131.5	29106.5	25850.3	56053.4
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	23435.8	12696.3	5660.16	13675.1	8706.5	14768	5345.45		16716.6
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	10750.6	9702.19	7644.26	9074.74	7059.81	9740.26	9084.54	8520.99	14483.4
A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	10989.8	7089.77	9755.02	6989.74	11352.8	7458.1	7612.94	5338.22	10743.3
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	38333.1	27386.5	31862.6	35418.2	33756.8	21451.5	32246.2	30506.7	33388.1
A0A075B6K5;P80748	A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	129035	136056	128431	156926	161211	145661	160813	148917	147306
A0A075B6P5;P01615	A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28	26697.4	27514.3	26875.8	27469.3	22051.2	26307.1	27484.7	20678.9	19073.2
A0A075B6Q5	A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64	3679.29	4619.69	3480.15	5607.26	5479.14	4821.21	4040.77	4980.4	8828.03
A0A075B6R2	A0A075B6R2	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4	7735.81	7453.23	8364.72	10291.2	7368.67	7702.27	10525.9	10059.3	11123.1
A0A075B6R2;A0A087WSY4	P01825;P0DP08;A0A075B6R2;P0DP06;A0A087WSY4;A0A087WW49;P0DP07;P01824;P06331;A0A0C4DH41	HV404_HUMAN;HV432_HUMAN	IGHV4-30-2;IGHV4-4	Immunoglobulin heavy variable 4-4	12421	12710.5	14463	13593.5	14253.4	13652.3	14672.5	14295.3	13085.5
A0A075B6R9;A0A0C4DH68	A0A0C4DH68;A0A075B6R9	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	26516.2	25533.9	25401.4	33270.1	24788.2	28959.1	25038.5	33878.1	43961.8
A0A075B6S2	A0A075B6S2;A2NJV5	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29	23528.1	17764.9	19203.4	18201.3	20117.8	13317.9	21632.7	20966.1	26622.1
A0A075B6S2;P06310	A0A075B6S6;A0A075B6P5;A0A087WW87;A0A0A0MRZ7;A0A075B6S2;P01615;P01614;P06310;A2NJV5	KV230_HUMAN;KVD29_HUMAN	IGKV2-30;IGKV2D-29	Immunoglobulin kappa variable 2D-29	604926	599194	611564	602125	603513	591135	570233	555493	598999
A0A075B6S4	A0A075B6S4	KVD17_HUMAN	IGKV1D-17	Immunoglobulin kappa variable 1D-17	1470.71	1728.14	2315.84	2335.88	1907.02	3500.06	1022.31	1811.02	1972.6
A0A075B6S5	A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	3202.5	4160.93	2934.06	2730.99	3348.13	3677.56	2893.84	2464.5	3714.92
A0A075B6S5;A0A0C4DH67	A0A0C4DH69;A0A075B6S5;A0A0C4DH67	KV108_HUMAN;KV127_HUMAN	IGKV1-27;IGKV1-8	Immunoglobulin kappa variable 1-27	32576.4	37936.4	19974.6	26018.9	35701.9	33738	19881	40445.4	48882.1
A0A075B6S9;P0DSN7	P0DSN7;A0A075B6S9	KV137_HUMAN;KVD37_HUMAN	IGKV1-37;IGKV1D-37	Probable non-functional immunoglobulinn kappa variable 1-37	5480.01	6099.53	4777.02	4887.18	6576.29	7447.88	5820.92	3972.76	20447.8
